"","weight","firstName","middleName","lastName","currentTeamId","birthDate","height","wyId","foot","shortName","currentNationalTeamId","passportArea.name","passportArea.id","passportArea.alpha3code","passportArea.alpha2code","role.code2","role.code3","role.name","birthArea.name","birthArea.id","birthArea.alpha3code","birthArea.alpha2code","city","name","officialName","type","area.name","area.id","area.alpha3code","area.alpha2code"
"14",85,"Mohamet Airam","","Ramos Wade",675,"2000-04-13",189,473326,"right","Moha Ramos","null","Spain","724","ESP","ES","GK","GKP","Goalkeeper","Spain","724","ESP","ES","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"15",76,"Toni","","Kroos",675,"1990-01-04",183,14723,"right","T. Kroos","3148","Germany","276","DEU","DE","MD","MID","Midfielder","Germany","276","DEU","DE","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"16",66,"\u00c1lvaro","","Odriozola Arzallus",675,"1995-12-14",175,278289,"right","Odriozola","1598","Spain","724","ESP","ES","DF","DEF","Defender","Spain","724","ESP","ES","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"17",74,"Borja","","Mayoral Moya",675,"1997-04-05",182,344120,"right","Borja Mayoral","1604","Spain","724","ESP","ES","FW","FWD","Forward","Spain","724","ESP","ES","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"18",82,"Theo Bernard Fran\u00e7ois","","Hern\u00e1ndez",675,"1997-10-06",184,344132,"left","T. Hern\u00e1ndez","null","France","250","FRA","FR","DF","DEF","Defender","France","250","FRA","FR","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"19",73,"Marcos","","Llorente Moreno",675,"1995-01-30",184,279538,"right","Marcos Llorente","null","Spain","724","ESP","ES","MD","MID","Midfielder","Spain","724","ESP","ES","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"20",74,"Jes\u00fas","","Vallejo L\u00e1zaro",675,"1997-01-05",183,282441,"right","Jes\u00fas Vallejo","1604","Spain","724","ESP","ES","DF","DEF","Defender","Spain","724","ESP","ES","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"21",94,"Thibaut","","Courtois",675,"1992-05-11",199,3429,"left","T. Courtois","5629","Belgium","56","BEL","BE","GK","GKP","Goalkeeper","Belgium","56","BEL","BE","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"22",76,"Marco","","Asensio Willemsen",675,"1996-01-21",182,288091,"left","Marco Asensio","1598","Netherlands","528","NLD","NL","MD","MID","Midfielder","Spain","724","ESP","ES","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"23",70,"Daniel","","Ceballos Fern\u00e1ndez",675,"1996-08-07",179,326523,"right","Dani Ceballos","1604","Spain","724","ESP","ES","MD","MID","Midfielder","Spain","724","ESP","ES","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
"24",77,"Luca Zinedine","","Zidane",675,"1998-05-13",183,352985,"right","L. Zidane","null","Spain","724","ESP","ES","GK","GKP","Goalkeeper","France","250","FRA","FR","Madrid","Real Madrid","Real Madrid Club de F\u00fatbol","club","Spain","724","ESP","ES"
